Magnitude	Depth	Distance(km)	Vs30	CDI	Instrumental_intensity
4.4	16.7	20.21763572	255.2074432	4.8	5.39326
4.4	16.7	42.54340457	260.6421814	3.1	4.58374
4.4	16.7	12.43587059	643.3546753	5.3	6.06301
4.4	16.7	26.94928589	339.5283508	6.4	5.12381
4.4	16.7	54.74381209	387.0570374	4.6	4.41895
4.4	16.7	36.09952954	395.8911438	3.4	3.75104
4.4	16.7	29.88657475	385.3669128	3.1	3.99047
4.4	16.7	57.7973237	237.7683868	3.1	3.98094
4.4	16.7	20.21763572	255.2074432	4.8	5.29852
4.4	16.7	66.3857509	232.7965088	4.1	4.44509
4.4	16.7	8.47802762	326.5749512	3.8	5.73918
4.4	16.7	24.14013599	326.3528137	2.9	3.91218
4.4	16.7	62.97955318	385.0278625	2.9	4.42566
4.4	16.7	52.46086557	251.4450684	3.3	4.09804
4.4	16.7	57.17429105	238.2844238	3.4	4.45649
4.4	16.7	33.58458562	324.194397	4.1	3.94495
4.4	16.7	25.93187755	340.3367615	4	6.80535
4.4	16.7	53.51696593	361.1778259	4.3	3.51928
4.4	16.7	58.35981984	372.4888306	3.4	3.22514
4.4	16.7	65.70463331	383.594574	2.7	3.49792
4.4	16.7	51.38177362	375.5310974	3.8	4.15324
4.4	16.7	61.25008829	364.416687	2.7	3.60625
4.4	16.7	100.6236102	254.4861298	2.9	3.06915
4.4	16.7	104.1767935	192.8178406	2.2	2.89222
4.4	16.7	55.52892311	350.7228394	3.4	2.97653
4.4	16.7	46.12535152	342.1268005	2.5	2.90246
4.4	16.7	42.11034651	346.9151611	4.1	3.31969
4.4	16.7	40.66999641	633.2290649	3	3.58428
4.4	16.7	55.26871956	354.9957886	2.7	2.95349
4.4	16.7	52.17687183	448.3444214	2.7	4.86904
4.4	16.7	32.21117855	398.217804	3.6	4.90435
4.4	16.7	32.63563909	267.3979187	4.5	4.68966
4.4	16.7	26.6285902	544.9629517	4.1	4.50906
4.4	16.7	36.91501232	569.7111816	3.8	4.08118
4.4	16.7	45.23385293	456.2001038	2.7	4.01274
4.4	16.7	41.54983343	384.6638794	3.6	3.90491
4.4	16.7	31.39157725	341.219574	2.2	4.5929
4.4	16.7	53.79053285	394.4616089	3.1	3.25863
4.4	16.7	41.97724068	670.1553955	2.2	2.79459
4.4	16.7	16.6495909	307.4013977	5.2	4.16902
4.4	16.7	57.76483798	384.4096069	2.2	2.92244
4.4	16.7	49.71440917	545.180603	2.7	2.35401
4.4	16.7	39.17955613	265.4009705	4.1	4.08516
4.4	16.7	40.27256421	278.9410706	2.2	3.24137
4.4	16.7	39.80054773	276.9137878	2.2	3.56894
4.4	16.7	38.79773561	260.4694519	2.7	3.16539
4.4	16.7	44.51828283	288.8311768	3.8	2.86815
4.4	16.7	48.57174569	284.6976624	2.2	3.08112
4.4	16.7	16.54198204	332.5693359	3.4	4.17086
4.4	16.7	33.82878569	326.3209534	2.8	3.13616
4.4	16.7	9.563338217	329.8565979	3.8	6.22834
4.4	16.7	47.50217393	575.2269897	4.8	2.68857
4.4	16.7	39.85552144	282.5281982	2.2	4.00241
4.4	16.7	10.82081027	315.9803772	4.9	5.25189
4.4	16.7	112.1660955	240.5567322	2.7	2.68669
4.4	16.7	15.64950843	483.7773132	4.3	5.24274
4.4	16.7	29.8301451	725.0460815	3.1	4.61476
4.4	16.7	63.57609594	298.5339355	5.8	3.05062
4.4	16.7	102.1428509	210.3031006	2.4	2.63708
4.4	16.7	50.40687912	244.1423798	2.1	2.94453
4.4	16.7	48.97554256	799.6939087	3.4	4.39742
4.4	16.7	31.17840598	341.170105	2.6	4.19484
4.4	16.7	30.42731735	721.5557251	4.9	4.84915
4.4	16.7	34.62176449	458.697998	3.3	3.72811
4.4	16.7	71.95415996	717.2650146	2.7	1.79726
4.4	16.7	63.79913014	356.5571289	3.6	3.16926
4.4	16.7	5.995900386	339.5799866	5.8	6.48954
4.4	16.7	60.37490177	352.0774231	3.4	2.59279
4.4	16.7	63.45669058	346.9014282	2.9	3.37138
4.4	16.7	72.07020605	478.4100952	2.9	3.29855
4.4	16.7	30.56021369	500.5636597	3.4	4.27557
4.4	16.7	76.90635437	354.146698	4.1	2.63021
4.4	16.7	55.94458477	360.4520874	4.2	4.42619
4.4	16.7	73.27319337	372.415741	2.2	2.70675
4.4	16.7	73.7627643	474.4078979	3.8	3.1154
4.4	16.7	40.51521873	356.0565796	3	2.60125
4.4	16.7	40.51521873	356.0565796	3	3.71977
4.4	16.7	45.07471211	343.7855225	4.2	2.75743
4.4	16.7	74.61743678	544.9383545	3.8	2.19123
4.4	16.7	78.29988937	376.3598938	2.5	1.87841
4.9	22.1	40.76713429	373.7682495	3.1	3.63792
4.9	22.1	50.21647244	363.1862488	3.4	3.53216
4.9	22.1	16.95617309	264.9552917	3.4	4.7593
4.9	22.1	35.45301747	268.4016418	3.9	5.57863
4.9	22.1	37.23936525	270.9513855	3.4	4.68721
4.9	22.1	39.90945498	270.5318909	3.8	4.20545
4.9	22.1	31.33163275	360.2892151	2.7	4.80358
4.9	22.1	44.65010537	360.8894653	3.1	3.6356
4.9	22.1	36.59392109	265.1869507	3.8	4.47526
5.2	12.3	84.8056304	339.0467224	3.8	3.82285
5.2	12.3	82.32710735	329.9349976	4.6	4.51142
5.2	12.3	72.9260263	680.1762085	3.3	4.22636
5.2	12.3	89.74819798	676.4660645	2.6	3.22107
5.2	12.3	104.3262863	340.3499756	3.6	3.69221
5.2	12.3	102.8041623	344.0226746	3.8	3.79693
5.2	12.3	96.16187654	339.7192383	3.6	3.60755
5.2	12.3	95.95394365	352.5155029	3.3	4.20417
5.2	12.3	99.1704915	372.5123901	4.1	4.24587
5.2	12.3	86.81726491	337.2677002	3.1	3.30032
5.2	12.3	77.01756454	433.7144165	3.4	4.39882
5.2	12.3	112.4444632	331.7449951	3.6	3.2397
5.2	12.3	95.22035802	437.3135986	3.4	3.72343
5.2	12.3	91.6524411	479.6478882	2.6	3.59977
5.2	12.3	101.0317743	361.2475891	3.1	3.80902
5.2	12.3	36.75928465	238.7032471	4.6	5.96203
5.2	12.3	42.62028252	260.6421814	2.7	5.08436
5.2	12.3	49.75742997	731.078064	4.1	3.94478
5.2	12.3	60.09346802	643.3546753	4.1	4.13116
5.2	12.3	59.71038928	339.5283508	4.6	5.5263
5.2	12.3	20.02056842	282.4550476	3.1	5.81896
5.2	12.3	29.810512	387.0570374	3.9	6.40859
5.2	12.3	34.97050602	222.4479523	5.4	5.73644
5.2	12.3	40.17827915	237.7683868	3.4	6.03186
5.2	12.3	26.46638938	388.2885742	6	5.63645
5.2	12.3	61.98058561	255.2074432	4.1	6.69587
5.2	12.3	35.95182497	232.7965088	4.8	6.07941
5.2	12.3	73.96857825	326.5749512	3.7	4.58424
5.2	12.3	57.12263824	326.3528137	5.1	4.56882
5.2	12.3	29.65502222	385.0278625	4.1	6.33173
5.2	12.3	36.80862474	251.4450684	4.9	6.19883
5.2	12.3	33.78821145	238.2844238	4.5	6.05905
5.2	12.3	132.4826177	247.7007751	3.3	3.74635
5.2	12.3	113.8859254	361.8728333	2.2	3.24606
5.2	12.3	95.67187155	324.194397	4	4.70719
5.2	12.3	63.75947211	340.3367615	4.8	5.25677
5.2	12.3	65.79665335	505.5352783	3.3	3.42958
5.2	12.3	76.96576897	346.5889893	3.6	4.63876
5.2	12.3	81.82944791	635.4987183	3.4	4.08864
5.2	12.3	79.82581853	361.1778259	4.3	4.6047
5.2	12.3	111.1385537	372.4888306	3.6	3.39668
5.2	12.3	117.333699	383.594574	3.3	3.73882
5.2	12.3	109.1978448	375.5310974	2.7	3.93917
5.2	12.3	85.61224889	478.0640564	3.5	3.7205
5.2	12.3	74.35914613	350.4143066	3.7	4.2835
5.2	12.3	79.84920186	647.4015503	3.4	4.25504
5.2	12.3	133.2584388	332.2532654	2.7	3.44927
5.2	12.3	66.07182945	367.6837158	3.3	5.85539
5.2	12.3	126.0181241	255.94104	3.4	3.06445
5.2	12.3	111.95859	364.416687	3.4	3.44737
5.2	12.3	142.9777592	278.2893066	2.5	4.09353
5.2	12.3	148.3913862	249.9461212	2.8	3.60507
5.2	12.3	146.7533714	232.7233734	3.4	3.33319
5.2	12.3	137.194992	234.453598	2.5	3.54168
5.2	12.3	136.4355195	210.7472229	2.9	3.14708
5.2	12.3	110.8288684	350.7228394	3.1	3.72944
5.2	12.3	103.178513	346.9151611	4.1	4.06495
5.2	12.3	96.2716838	633.2290649	3.1	3.88595
5.2	12.3	113.8956283	354.9957886	4.1	3.89002
5.2	12.3	86.49544098	448.3444214	3.6	2.94546
5.2	12.3	72.44820583	398.217804	4.6	4.92812
5.2	12.3	90.01885425	267.3979187	4.3	5.41024
5.2	12.3	82.88444961	569.7111816	3.6	3.45701
5.2	12.3	74.63064819	456.2001038	3.4	3.61354
5.2	12.3	161.2104903	291.0671692	2.2	3.51586
