ID	EventID	Magnitute(USGS)	lon	lat	Depth	Num_station	Num_DYFI
1	ci37510616	4.4	-116.888	33.959	16.7	111	3522
2	ci37528064	4.9	-119.373	35.542	22.1	22	1319
3	ci37374687	5.2	-116.443	33.432	12.3	248	6307
4	nc72664436	4.8	-123.892	40.724	26.2	14	300
5	nc72672610	5.1	-122.802	39.329	14.5	2	539
6	nc72689331	5.6	-125.688	40.321	28.6	3	241
7	us20007z6r	6.6	-126.194	40.454	8.5	75	1265
8	nc72737985	5	-122.841	38.822	1.5	8	696
9	nn00570710	5.6	-118.897	38.39	12.2	10	3962
10	nn00570709	5.6	-118.899	38.376	11.3	14	1221
11	nc72852151	5.1	-124.181	40.782	26.5	2	146
12	nc72906781	4.1	-121.672	37.314	9.7	21	1745
13	nc72923380	4.6	-121.244	36.631	6.3	25	1159
14	nc72948801	4.4	-122.257	37.855	21.3	91	3962
15	ci37908735	5.3	-119.734	33.82	9.8	68	3088
16	ci38167848	4.5	-116.78	34.016	12.9	189	4582
17	ci38245496	4.4	-116.803	33.477	1.9	41	1958
18	ci38038071	4.4	-117.775	34.136	5.5	117	3305
19	nc73201181	5.6	-124.3	40.274	9.4	22	644
20	ci38443183	6.4	-117.504	35.705	10.5	510	10572
21	ci38450263	5.4	-117.575	35.76	7	56	1397
22	ci38469375	4.5	-117.663	35.824	6.5	45	110
23	ci38457511	7.1	-117.599	35.77	8	562	11700
24	ci38583335	4.5	-117.614	35.784	3.6	45	129
25	nc73291880	4.5	-122.057	37.938	14	104	5001
26	nc73292360	4.7	-121.274	36.646	10.1	50	1883
27	nc73315876	4.3	-120.356	35.806	6.3	22	306
28	ci38522647	4.2	-117.525	35.665	9.2	36	105
29	ci38548295	4.9	-117.586	35.637	9.5	56	1202
30	nc73225421	4.3	-121.757	37.819	12.4	102	2040
31	ci38583335	4.5	-117.614	35.784	3.6	44	151
32	ci38593535	4.6	-117.888	36.113	1.6	33	97
33	ci38624623	4.2	-116.045	33.997	8.2	72	657
34	ci38628799	4.2	-117.427	35.625	5.5	27	52
35	ci38644943	4.7	-117.707	35.926	3.8	29	83
36	ci38443647	4.3	-117.485	35.676	8.5	38	51
37	ci38443871	4.5	-117.479	35.672	5.2	25	109
38	ci38443719	4.6	-117.56	35.716	1.9	59	212
39	ci38443607	4.6	-117.597	35.601	2.8	31	473
40	ci38457487	5	-117.554	35.725	0.9	130	60
41	ci38996632	4.9	-117.709	35.908	4.9	88	691
42	nc73351710	5.8	-125.094	40.392	3.2	22	848
43	nc73355700	5.2	-124.456	40.348	28.6	16	513
44	ci38385946	5.5	-114.541	31.689	10	18	1647
45	ci39126079	4.9	-116.507	33.49	10.5	140	5287
46	nc73367270	5.2	-118.733	38.053	8.5	30	867
47	ci38488354	4.5	-116.02	33.018	10.2	33	1560
48	nn00725272	6.5	-117.85	38.169	2.7	24	5467
49	ci39462536	5.5	-117.428	35.615	8.4	107	5063
50	ci39469848	4.3	-117.418	35.638	3.6	11	131
51	ci39493944	5.8	-117.975	36.447	4.7	48	4410
52	ci39322287	4.2	-118.438	34.302	8.9	67	2248
53	ci38695658	4.5	-118.08	34.038	16.9	194	5945
54	ci39641064	4.4	-115.596	33.053	4.8	9	49
55	ci39641528	4.9	-115.591	33.055	14.2	24	276
56	nn00787105	5.1	-118.084	38.164	5	5	96
57	nn00791435	4.9	-118.101	38.15	6.4	10	43
58	nn00788443	4.9	-118.065	38.175	5	3	39
59	nc73512355	4.2	-121.611	36.867	8.3	37	2816
60	nc73559265	4.7	-120.315	39.461	10.1	2	97
61	ci39919392	5.3	-115.635	33.14	5.8	26	817
62	nc73584926	6	-119.5	38.508	7.5	37	9147
63	nc73594531	5.1	-124.426	40.324	30.9	23	470
64	nc73618401	4.1	-121.183	36.578	8.5	11	202
65	ci39812319	4.3	-118.264	33.831	11.9	102	3282
66	nc73666231	6.2	-124.298	40.39	27	61	1960
67	nc73674251	4.6	-124.864	40.385	12.6	23	4353
68	nc73674211	4.8	-117.902	37.334	9.5	27	2672
69	ci39928087	4	-116.915	33.336	13.3	88	2296
70	nc73705146	4.1	-121.188	36.585	6	79	1156
71	nc73714181	4.1	-124.21	40.487	21.4	18	184
72	ci40236864	4.5	-116.893	31.931	14.5	186	1852
73	ci40027143	4.3	-117.406	35.603	4.8	22	83
74	nc73740051	4.1	-122.008	38.077	18.4	15	117
75	ci40063391	4.6	-117.584	35.709	6.3	83	200
76	ci40069263	4.3	-116.762	31.908	16.7	34	194
77	nc73765585	4.5	-119.446	38.582	5.4	24	406
78	nc71129069	4.3	-122.704	38.481	5.6	36	1557
79	nc73781306	4.4	-122.707	38.475	5.6	55	1543
80	nc73798306	4.1	-124.14	40.578	28.4	8	190
81	nc73799091	5.1	-121.672	37.312	8.4	69	223
82	nc73821046	4.9	-124.188	40.523	26.6	16	137
83	nc73821036	6.4	-124.423	40.525	17.9	36	348
84	ci40151807	4.1	-116.393	33.398	3.9	10	103
